icsad_ID,Original_Release_Date,Last_Updated,Year,ICS-CERT_Number,ICS-CERT_Advisory_Title,Vendor,Product,Products_Affected,CVE_Number,Cumulative_CVSS,CVSS_Severity,CWE_Number,Critical_Infrastructure_Sector,Product_Distribution,Company_Headquarters,License
954,9/4/2018,10/18/2018,2018,ICSA-18-247-01,Opto 22 PAC Control Basic and PAC Control Professional,Opto 22,PAC Control Basic and PAC Control Professional,The following versions of PAC Control - control programing software are affected: PAC Control Basic Versions R10.0a and prior and PAC Control Professional Versions R10.0a and prior.,CVE-2018-14807,8.4,High,CWE-121,Multiple Critical Sectors,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
953,8/30/2018,8/30/2018,2018,ICSA-18-242-01,Philips e-Alert Unit,Philips,e-Alert Unit,The following Philips e-Alert versions are affected: Version R2.1 and prior.,"CVE-2018-8850, CVE-2018-8846, CVE-2018-14803, CVE-2018-8848, CVE-2018-8842, CVE-2018-8844, CVE-2018-8852, CVE-2018-8854, CVE-2018-8856",9.8,Critical,"CWE-319, CWE-352, CWE-200, CWE-20, CWE-79, CWE-276, CWE-384, CWE-400, CWE-798",Healthcare and Public Health,Worldwide,Netherlands,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
952,8/28/2018,8/28/2018,2018,ICSMA-18-240-01,Qualcomm Life Capsule,Qualcomm Life,Capsule,The following versions of Capsule Datacaptor Terminal Server (DTS) | part of a medical device information system are affected: Allegro RomPager embedded web server versions 4.01 through 4.34 included in Capsule DTS | all versions affected.,CVE-2014-9222,9.8,Critical,CWE-17,Healthcare and Public Health,Worldwide,United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
951,8/28/2018,8/28/2018,2018,ICSA-18-240-01,Schneider Electric Modicon M221,Schneider Electric,Modicon M221,Schneider Electric reports the vulnerabilities affect the following Modicon M221 products: Modicon M221 | all references | all versions prior to firmware v1.6.2.0.,"CVE-2018-7790, CVE-2018-7791, CVE-2018-7792",7.7,High,"CWE-199, CWE-264",Commercial Facilities,Worldwide,France,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
950,8/28/2018,8/28/2018,2018,ICSA-18-240-02,Schneider Electric Modicon M221,Schneider Electric,Modicon M221,The following versions of Modicon M221 - programmable logic controller (PLC) are affected: Modicon M221 all references and versions prior to firmware v1.6.2.0.,CVE-2018-7789,4.8,Medium,CWE-754,Commercial Facilities,Worldwide,France,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
949,8/28/2018,8/28/2018,2018,ICSA-18-240-03,Schneider Electric PowerLogic PM5560,Schneider Electric,PowerLogic PM5560,The following versions of PowerLogic PM5560 - power management system are affected: PowerLogic PM5560 all versions prior to firmware Version 2.5.4.,CVE-2018-7795,8.2,High,CWE-79,Energy,Worldwide,France,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
948,8/28/2018,10/2/2018,2018,ICSA-18-240-04,ABB eSOMS (Update A),ABB,eSOMS,The following version of ABB eSOMS - electronic shift operations management system is affected: eSOMS Version 6.0.2.,CVE-2018-14805,9.8,Critical,CWE-287,Chemical; Defense Industrial Base; Energy,Worldwide,Switzerland,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
947,8/23/2018,8/23/2018,2018,ICSMA-18-235-01,BD Alaris Plus,"Becton, Dickinson and Company (BD)",Alaris Plus,The following versions of Alaris Plus - medical syringe pumps | Versions 2.3.6 and prior are affected: Alaris GS | Alaris GH | Alaris CC andAlaris TIVA.,CVE-2018-14786,9.4,Critical,CWE-287,Healthcare and Public Health,"United States, Europe",United States,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
946,8/21/2018,10/11/2018,2018,ICSMA-18-233-01,Philips IntelliVue Information Center iX (Update B),Philips,IntelliVue Information Center iX,The following versions of Philips IntelliVue Information Center iX - real-time central monitoring system are affected: Philips IntelliVue Information Center iX Versions B.02.,CVE-1999-0103,5.7,Medium,CWE-400,Healthcare and Public Health,Worldwide,Netherlands,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
945,8/21/2018,8/21/2018,2018,ICSA-18-233-01,"Yokogawa iDefine, STARDOM, ASTPLANNER, and TriFellows",Yokogawa,"iDefine, STARDOM, ASTPLANNER, and TriFellows",According to Yokogawa the following products are affected: ASTPLANNER: R15.01 and prior | iDefine for ProSafe-RS: R1.16.3 and prior | STARDOM: VDS R7.50 and prior and FCN/FCJ Simulator R4.20 and prior and TriFellows: Version 5.04 and prior.,CVE-2018-0651,8.6,High,CWE-121,Critical Manufacturing; Energy; Food and Agriculture,Worldwide,Japan,Open Database License (ODbL) v1.0 - 2026 ICS Advisory Project
